voting_number,timestamp,voter,vote,staked_ANT_amount,tx
0,2019-01-24T17:22:31.000Z,0xd395d4a9753310f3940de2673c70c251224e3d07,Yes,0.05363874,0x161ce69ec98d58611447e4a3724179f925feed54ab3291f59ee6afb05f1e6612
0,2019-01-24T18:41:39.000Z,0xb8506be2c700641873108a1a47d8e509157cf231,Yes,207593.4902,0x82134ff0ce2e90c360a866e2480664f2afe88a58d7fa11e8782e39dfcf272d64
0,2019-01-24T22:51:16.000Z,0xf1f0c294d247e8691d1118a86ccc669da3c75ca8,Yes,6169.916293,0xe4201861a97d783705cb641f7db1eb4f3a9a20d9e9fffd17334ee259a801e373
0,2019-01-24T23:20:15.000Z,0xcafb4ff79d39949d29e2ec4eb6b42c1e7b4d8b2b,Yes,46453.40167,0x7533bd71364388a3cf9f7c3d1e5a78c66a736f47b74ed4f3245a80e9c21a2a73
0,2019-01-24T23:26:21.000Z,0x583da21ad0c1171ae4b6cf24d92c46f033a0a794,Yes,100,0xae703669784836c27c42bda64ee8a2cfe4f2e6874489f8e80d661efaa7d4e18a
0,2019-01-25T01:07:07.000Z,0xedfada8246c5d3e93e8012ffc8a549c32ef75b9c,Yes,28.59535556,0x2442f917cce9f092f73a78eb4059194cdd158452e3da6d6c266b80ef1c46efa1
0,2019-01-25T01:26:20.000Z,0x17de335cda63c144037b6fe43fadc7f9d0c21bb6,Yes,4000,0x721b752f9d30ec317e0c8ba3ef7b6cb8e15d60cebe0258490ad546d9dab4781f
0,2019-01-25T02:58:57.000Z,0xefa62e5ca8f914d3bb2c9ffa3da9c1cd2bd8bdd2,Yes,24840,0x3ebf2a56e24955364956c7b4be021a206b6982d156b2b5c4071859295cce0126
0,2019-01-25T03:37:47.000Z,0x4323b6f87e3ad7719b4a2ed791957faf96752bd4,Yes,13317.96704,0x63a86d1ea3fc12686d397d1f7af3761c492e5e9d5e4f6eddd05b03e022a071dc
0,2019-01-25T07:11:00.000Z,0x702eccb2b9bf886e27b0698601dc735501b9b546,No,89575.16863,0x01930b58253308f1286e41d711c56d530e644fb30611ad9aa04ada968726c4e3
0,2019-01-25T07:17:50.000Z,0x52ccabeebd9a77c2c8fbf03924f3f2870bcf6f1c,Yes,226.3003175,0x006daad16c2522881b96c349e4088127f1dbb9217c5bb611785e74c16cc516a8
0,2019-01-25T09:33:23.000Z,0xa4ae57a1b051ff0980bc9dc59c36cd65f0fa7a11,Yes,20390.99009,0xf510773ffd4c4b1cb73d8b532c2b88e06f335a1f4210333b94b60d18833d4c95
0,2019-01-25T10:33:14.000Z,0xa24b814aa745fd03893d6f63082ecd5d6fd0fca2,Yes,100,0x6bf11e99642d9f5cef773108968fbc7752462e967c889ad8c9711cf0d515e4c3
0,2019-01-25T10:38:27.000Z,0xdacc0fd259ce0de2829b38a0765970e7ab65346c,Yes,90.00002093,0xfb243069a6ec20f941f2ec94cee491aa5755421d876a1fd0fe6854df1b7fe770
