,voting_number,timestamp,voter,vote,staked_ANT_amount,tx,Vote Weight,Result,timestamp_norm,staked_norm,cluster
151,4,1.548402133e+18,0x52ccabeebd9a77c2c8fbf03924f3f2870bcf6f1c,1,226.30031749999998,0xf07e78d8219d1dc56090c1bdd164a16811797bd0feceb6552af92b0ba35f22b4,226.30031749999998,1,0.7109904512263621,0.00011825934594607937,2
152,4,1.548409102e+18,0xa4ae57a1b051ff0980bc9dc59c36cd65f0fa7a11,1,20390.99009,0x37c58eca3a26c035df5c8699a23bffc2657110de00c081377da36f0f7fdcb071,20390.99009,1,0.754484178992698,0.010658361135599623,2
153,4,1.548411782e+18,0xa24b814aa745fd03893d6f63082ecd5d6fd0fca2,1,100.0,0xaa2635a05a4ec3ae4bd8df2b06c041c3edda774b6a4499213c6d2cc9f93aa116,100.0,1,0.7712101354303189,5.224205445612866e-05,2
154,4,1.548417101e+18,0xf925fdaea552d36a5291335941ab7a046f960a80,1,13.7,0xeed036bcf4fd9df2c286130ee037ab008b05d5f9ba1094767593e6aa4b84ce00,13.7,1,0.8044061661361792,7.132965513555349e-06,2
155,4,1.548433212e+18,0x1786727d7e5f93cb4bda4d13c6bfc32446ef1a8b,1,1913140.0,0x1a80a25efee02febd0a15f6b77170f87df538525548543d4da5856bb7129939e,1913140.0,1,0.9049553766460713,1.0,0
156,4,1.54844087e+18,0x80b380422421f42aa2b0f644f76af92115b71cf8,1,217.6292114,0x473c2f60dd435789161735fc146dd68694f6dd5ff2d2e78dcdaf6ddfba3a1d0d,217.6292114,1,0.9527491730637209,0.00011372695085575042,2
157,4,1.548447545e+18,0xbc62985faabed27a8f174cbd5ea1ee7b1ed8fc12,1,50.0,0x8bbbc7c67b55351be974942cb5a8f2a23d9099682f218591f20c80efa1c72ecd,50.0,1,0.9944080384447357,2.610700871883242e-05,2
158,4,1.548448441e+18,0x0f01a0c3f5255745f31a7fbd555ec6461f405287,1,10.0,0x141414f584576ce2e651766eaad58a2864e91b134076c82fba22fbc505c98437,10.0,1,1.0,5.198972128995428e-06,2
159,5,1.54828816e+18,0x915bef8030c3f6e992522ab9fb714ffe6c30156c,1,2950.276923,0xb0d02a05cd2a462728d95ce6a417bb26ea004b1b86b47e9e1042cba61b6b2d66,2950.276923,1,0.0,0.004965510913372283,3
160,5,1.548288258e+18,0x17d38262ceb5317af645a246b0ce6fc4cc3088f6,0,249.98,0xac5e928d1bf9ec8beb5e125f45ddbdefbd08ef8c1302ccb962f33c7804b65722,-249.98,1,0.0005764197276710879,0.00042065022027213615,3
161,5,1.548298229e+18,0x839395e20bbb182fa440d08f850e6c7a8f6f0780,1,2987.342012,0x6195c4f6007c2cd3e3c5f3d9c5d9210802ecd3d264db09cc748c50effeca91a8,2987.342012,1,0.059224186101226366,0.005027895040335331,3
162,5,1.548300174e+18,0xd472fa32294977196b9ad47e7865e0d737220e32,0,5602.726497,0x7c56296aa7ee49d5403990d634fb49a92a3e237034d3042ed9df7fafd309bbaf,-5602.726497,1,0.07066435314531071,0.009429839893871896,3
163,5,1.548305607e+18,0xbfc7cae0fad9b346270ae8fde24827d2d779ef07,0,218.40815049999998,0x1e0e6276b763abd6998e8639d997af795cd9dcc8ebde2c35ff0659b44b6b650a,-218.40815049999998,1,0.10262035702732111,0.00036751174628476136,3
164,5,1.548305706e+18,0x0bf4c238a25b66cd869331a692dfd0322708d7fb,0,25.71870149,0x63993b5452bc5ad21380252af147cdfb7e93b327aa7c70bde73b7fe268a477d4,-25.71870149,1,0.10320265858894803,4.319678102244898e-05,3
165,5,1.548314393e+18,0x450c0c90706a8cc664e8b496711370b43415715d,1,47548.260969999996,0xc7ef36789358ecbf5f0df43f12247fb1f78528fa33b38db2ed43a66790e442a2,47548.260969999996,1,0.1542981501632209,0.08002822826133325,3
166,5,1.548321656e+18,0xb62e27446079c2f2575c79274cd905bf1e1e4edb,1,4804.08711,0x22d31aafc0acd75d20c7fe7c0990689d4e92eca70f4464cf5855956aa19fb18c,4804.08711,1,0.1970179101843955,0.008085652620605172,3
167,5,1.548344405e+18,0x0ed8f275eab9edf99120c4b101c232ff46ef7145,0,100000.0,0x580fb80919f096239534d75f3957caa724435b620c98f627d04e8567f799a193,-100000.0,1,0.33082375084551363,0.1683095742761818,1
168,5,1.548348113e+18,0x57364d13258bdac76167605d9fb47e958d0d1ab1,0,415.0,0xe6efaefdd4b82ac5352dec69a9501985abf1ee0667fcfddb5a9dde3e5c6e0329,-415.0,1,0.3526335911537217,0.0006983948287213997,1
169,5,1.548349093e+18,0xf0bea4a25b280955417b1ca0c2519a5f6e752fae,0,243.3878319,0x48f51a12e3995b9dc2cc4c648b3bb640dd80c2f91faf434b4b3b53b10afc6535,-243.3878319,1,0.35839778843043263,0.0004095549642561004,1
170,5,1.54834913e+18,0xf69cd35a7299ba94e6bee03265837d0acb89d44a,0,16397.378,0x1fa5039af5c470b1c0f5c386041609edb47ea32d78c44ef60be69acc246e21a1,-16397.378,1,0.3586154162867982,0.027598281628491886,1
171,5,1.548350348e+18,0xd395d4a9753310f3940de2673c70c251224e3d07,0,0.05363874,0x43b66b1ea11544288648803d0c317d2dfbe63ad739f7c921dea1304b89d69bca,-0.05363874,1,0.36577949004499605,0.0,1
